run,name,learning_rate,gamma,buffer_size,batch_size,exploration_strategy,mean_reward,std_reward,mean_length
1,baseline,0.0001,0.99,10000,32,"frac=0.2, eps=0.05",12.40342863220867,47.20924061825618,54.95
2,high_lr,0.0005,0.99,10000,64,"frac=0.2, eps=0.05",178.9587837308621,38.51740190523089,74.6
3,very_high_lr,0.001,0.99,10000,64,"frac=0.2, eps=0.05",170.82944707904153,26.77123107469518,23.6
4,aggressive_lr,0.003,0.99,10000,64,"frac=0.2, eps=0.05",210.18288374907365,40.34866753916816,43.5
5,large_buffer,0.0005,0.99,50000,64,"frac=0.2, eps=0.05",143.36387250924528,42.40577133680956,49.6
6,large_batch,0.0005,0.99,10000,128,"frac=0.2, eps=0.05",211.31891028825083,28.51690273419077,37.2
7,low_gamma,0.0005,0.95,10000,64,"frac=0.2, eps=0.05",201.46235147095575,44.441743450881276,25.4
8,high_gamma,0.0005,0.999,10000,64,"frac=0.2, eps=0.05",145.20332297859625,16.663774406150843,90.0
9,high_explore,0.0005,0.99,10000,64,"frac=0.1, eps=0.01",168.41120502135658,26.595285926509916,44.7
10,freq_target_update,0.0005,0.995,5000,32,"frac=0.3, eps=0.1",184.275840601145,29.798599218729837,30.2
