run,name,learning_rate,gamma,n_steps,clip_range,ent_coef,mean_reward,std_reward,mean_length
1,baseline,0.0003,0.99,2048,0.2,0.01,53.6,55.651055695287575,90.0
2,high_lr,0.001,0.99,2048,0.2,0.01,115.62756735479915,86.57614693539423,67.75
3,low_lr,0.0001,0.99,2048,0.2,0.01,73.55,28.601529679372042,89.8
4,wide_clip,0.0003,0.99,2048,0.3,0.01,63.55,43.3110551707067,90.0
5,narrow_clip,0.0003,0.99,2048,0.1,0.01,17.95126376758215,43.69307973058109,58.4
6,high_entropy,0.0003,0.99,2048,0.2,0.05,69.45091727202984,63.613283199379126,72.8
7,low_entropy,0.0003,0.99,2048,0.2,0.001,47.48588889504455,69.90732177392735,60.65
8,short_rollout,0.0003,0.99,512,0.2,0.01,49.9,36.113570856396905,90.0
9,many_epochs,0.0003,0.99,2048,0.2,0.01,98.38877138828175,89.18568852325981,65.9
10,high_gamma,0.0003,0.999,2048,0.2,0.01,-8.646614071522396,42.60124159608316,60.3
